surface_profile,direction_mode,step_over_ratio,edge_mode,checkpoint,env,profile_seed,outcome,passes,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,quality_ok,safety_ok
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,10,1970,success,1,88.11077978584689,88.00061640196104,0.05966935757934832,0.04466614942022725,0.4894785546565575,0.40694301477997796,0.0,0.0,43.285431827641624,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,12,2164,success,1,79.89879367820318,84.69156164964176,0.056347728229255836,0.04367257616604614,0.4530013427851343,0.37794274641970194,0.23811716844371736,0.16128751287740586,43.611365318262415,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,0,1000,success,1,81.1033897011976,85.08684223679751,0.04993485964142556,0.034127131184837824,0.43502309689307916,0.3622292094096795,0.28823003786835455,0.2561752128300019,42.38444360638945,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,3,1291,success,1,88.12260604741283,87.98830628315032,0.055753920892678284,0.038620684455481814,0.44099847691801874,0.3803174288236357,0.0,0.0,41.684887845744335,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,6,1582,success,1,82.75548444242376,84.08762998838593,0.050067972636310874,0.03442578847283355,0.42543494337769494,0.32750755868036713,0.11082976862610384,0.07485823409730696,42.70624232621147,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,7,1679,success,1,87.79627542596089,87.84229282310935,0.045167608973032285,0.03240211772626218,0.3375741217598247,0.26862212486531883,0.0,0.0,42.453533286796116,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,8,1776,success,1,87.89343708674024,87.89836591092453,0.054210413542670595,0.03964654521728894,0.3912262489207046,0.3457225105324346,0.0,0.0,43.19604134775226,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,9,1873,success,1,88.41129828188514,88.17262075333925,0.05551274870299213,0.03945081732174524,0.42572576099446213,0.35119091355581344,0.0,0.0,42.000218013776916,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,11,2067,success,1,88.63070532675589,88.26334218917528,0.06188190110351941,0.04405986030597527,0.4557494672250068,0.3487288208779793,0.0,0.0,42.37743302085513,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,13,2261,success,1,88.3746196882296,88.15854014433509,0.044160583441829195,0.03384493383900373,0.3301257314348831,0.29723898084004446,0.0,0.0,42.20750180176763,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,14,2358,success,1,80.72896733729257,86.10895449222353,0.04832248554498525,0.03645318642721904,0.3797966299791882,0.3307438496553474,0.08822201013812676,0.05539856796011902,41.46784150276516,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,15,2455,success,1,88.58126101478156,88.24697615960069,0.051814143395877206,0.03759919436839134,0.37323409400606056,0.34821807183575715,0.0,0.0,43.0031170600453,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,5,1485,success,1,85.69821027730319,87.18049787579965,0.043668925885214635,0.0315206609585026,0.32584642593339763,0.2715821795117386,0.10843815946373732,0.057396320265551304,41.39270760684308,True,True
new_car_mild,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,4,1388,success,1,76.29165560018549,84.14538696083855,0.053762943463059015,0.0396261729371502,0.4269578774652889,0.37574240024769,0.32740074503894845,0.23655467011491838,44.14542682578236,True,True
